county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Alameda,0,8.3000002,14.5,99.699997,5.8000002,5.1999998,1
Alpine,0,6.9000001,20.6,100,7.5999999,4.1999998,1
Amador,0,8.1999998,24.799999,75.900002,6.1999998,4.1999998,1
Butte,0,7,22.4,84.199997,7.1999998,5.5999999,1
Calaveras,0,8.1999998,31.200001,60.400002,7.3000002,4.5999999,1
Colusa,1,8.1999998,27.9,74.900002,10.7,4.1999998,1
Contra Costa,0,8.5,16.200001,96.900002,5.9000001,4.6999998,1
Del Norte,1,6.4000001,24.9,89.099998,6.1999998,5.0999999,1
El Dorado,0,8.1999998,18.200001,89.599998,5.4000001,4.9000001,1
Fresno,0,7.6999998,20,78.5,8.6999998,5.0999999,1
Glenn,1,8,19.299999,66.099998,11,5.3000002,1
Humboldt,0,7.0999999,16.9,85.099998,8.8999996,4.8000002,1
Imperial,0,7.1999998,31.4,69.099998,7.9000001,5.9000001,1
Inyo,0,7.5,26.5,41.700001,9,4,1
Kern,0,7.6999998,22.4,75.900002,8.6000004,4.9000001,1
Kings,1,7.8000002,23.700001,43.799999,9,4.1999998,1
Lake,0,7,23.1,65.5,9.1999998,5.4000001,1
Lassen,0,7.5,36.900002,54.200001,4.8000002,4.5999999,1
Los Angeles,0,8.5,16.4,97.599998,10.1,5.4000001,1
Madera,1,7.6999998,28,70.300003,10.4,4.5999999,1
Marin,0,8.8000002,12.6,97.199997,5.4000001,5.6999998,1
Mariposa,0,7.5,20.700001,48.700001,8,4.5,1
Mendocino,0,7.5999999,18.6,72.300003,10.7,5,1
Merced,1,7.5999999,21.799999,69.599998,8.6999998,4.5999999,1
Modoc,0,6.8000002,25.299999,46.299999,10.5,4.0999999,1
Mono,0,7.4000001,17.5,92.5,10,3,1
Monterey,0,8.6000004,19.799999,90.300003,11.5,4.1999998,1
Napa,0,9,18.5,89.800003,8.5,4.5,1
Nevada,0,7.8000002,14.4,81.099998,7,4.6999998,1
Orange,0,8.8999996,15.2,99.699997,8.3000002,4.6999998,1
Placer,0,8.5,15.2,93.900002,4.3000002,4.6999998,1
Plumas,0,7.5999999,23.5,98,6.9000001,4.5,1
Riverside,0,8.3000002,20.700001,88.900002,8.8999996,4.6999998,1
Sacramento,0,7.5999999,18.700001,97.400002,6.4000001,4.9000001,1
San Benito,1,9.3999996,28.200001,66.400002,8.1000004,3.7,1
San Bernardino,0,8.1000004,22.9,84.300003,8.3000002,4.5999999,1
San Diego,0,8.3999996,14.4,97,8.3999996,4.6999998,1
San Francisco,0,8.1999998,13.8,100,5,7.0999999,1
San Joaquin,1,7.9000001,24.9,85.699997,7.5999999,4.8000002,1
San Luis Obispo,0,8.1000004,15,87.599998,7.3000002,4.6999998,1
San Mateo,0,9.1000004,15.6,99.699997,5.4000001,4.9000001,1
Santa Barbara,0,8.6000004,16.4,92.199997,10.5,4.6999998,1
Santa Clara,0,8.8999996,15.9,99.099998,5.0999999,5,1
Santa Cruz,0,8.3000002,11.4,94,7.4000001,5.5999999,1
Shasta,0,6.9000001,19.5,77.900002,7.0999999,4.8000002,1
Sierra,0,5.8000002,28.5,70.199997,7.8000002,5.8000002,1
Siskiyou,1,6.5999999,23.299999,72.5,8.6000004,4.5,1
Solano,0,8,23.299999,96.699997,5.6999998,4.1999998,1
Sonoma,0,8.5,15.5,93.699997,7.5999999,4.5,1
