county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Desha,47.5,4.0999999,36.799999,59.900002,9.5,5.0999999,4
Drew,34.900002,5.8000002,30.1,40,8.3999996,6.0999999,4
Faulkner,36.5,7.1999998,30.200001,55.200001,8,4.9000001,4
Franklin,42.200001,7.4000001,37,65.900002,9.3999996,5.6999998,4
Fulton,32.099998,6.5,29.9,44.299999,9.6000004,4.6999998,4
Garland,28.799999,6.5999999,34.900002,78,9.8000002,4.6999998,4
Grant,34.400002,7.8000002,39,26.6,6.0999999,4.9000001,4
Greene,38,7,33.400002,40.099998,7,4.1999998,4
Hempstead,31.6,5.8000002,36.400002,63.700001,10.8,4.4000001,4
Hot Spring,34.900002,7.1999998,37.5,24.9,7.5999999,4.5,4
Howard,42.5,5.6999998,29.5,10.1,11.6,4.9000001,4
Independence,29.700001,7.1999998,29.799999,50.700001,8.1000004,4.1999998,4
Izard,32.299999,7.6999998,30.5,49.900002,10.4,4.1999998,4
Jackson,39,6,33.099998,36.099998,8.6999998,4.9000001,4
Jefferson,42.5,5.4000001,34.099998,53.200001,7.1999998,5.0999999,4
Johnson,40.400002,7.5999999,28.9,60.599998,10.6,4.3000002,4
Lafayette,46.400002,5.8000002,45.400002,13.7,10.6,6.1999998,4
Lawrence,37.900002,6.3000002,31,43.099998,8.3000002,4.5,4
Lee,40.599998,3.4000001,33.400002,43,8.6000004,6.9000001,4
Lincoln,44.599998,5.6999998,40,39,9.3999996,5,4
Little River,33.700001,6.8000002,35.200001,62.099998,9,5,4
Logan,29.9,7.3000002,35.299999,72.599998,9.6000004,4.0999999,4
Lonoke,41,7.5,32.700001,46.700001,7.0999999,4,4
Madison,31,7,30.9,47.599998,11.5,4.8000002,4
Marion,27.1,7.1999998,29.9,19.299999,9.6999998,4.6999998,4
Miller,39.200001,5.8000002,40,64.800003,8.1000004,4.9000001,4
Mississippi,42.900002,5.6999998,38,71.699997,7.5999999,4.8000002,4
Monroe,43.5,5.6999998,37.400002,57,8.5,6.3000002,4
Montgomery,23.700001,6.9000001,24.4,97.900002,11.4,4.5,4
Nevada,43.400002,5.5999999,41.299999,40.400002,8.3999996,4.3000002,4
Newton,39.5,6.1999998,26.1,59.099998,9.6000004,4.5999999,4
Ouachita,40.799999,5.1999998,34.400002,41.599998,7,5.5,4
Perry,36.099998,7.4000001,28.1,46.099998,8.8999996,3.7,4
Phillips,44.900002,2.4000001,40.299999,12.7,7.3000002,6,4
Pike,28.700001,7,37.400002,50.700001,12,3.9000001,4
Poinsett,41.299999,5.6999998,40.200001,33.799999,9.5,4.1999998,4
Polk,35.900002,5.6999998,31.4,60.5,13,4.1999998,4
Pope,34.700001,7.1999998,31.799999,68.099998,10.5,4.9000001,4
Prairie,36,5.8000002,47.099998,40.700001,9.1999998,4.5999999,4
Pulaski,33.900002,6.1999998,29.5,83.599998,7.6999998,5,4
